Comments,HateSpeech
মেয়েদের টাকা পয়সা কিছু লাগে না। নিচেরটা ঠিক থাকলে হয়।,hate
এইগুলো বুঝিনা জন্য আমি সিঙ্গেল,nonhate
এই মামুনির চুষতে ভালো লাগে!,nonhate
নিচের জ্বালা উঠছে মনে হয় ,hate
ইস আস্তে কামড় দিতে বলছিলা,nonhate
লাউটা ঝুইলা মাটিতে পইরা গেছে ওইটা আবার মামনি কেমনে হয়,hate
এর নতুন নতুন দুধ মোটা হচ্ছে তার জন্য মামুনি আনন্দই আছে,hate
উফফ রসালো মাল ,nonhate
ওখান থেকে জল খেতে গেলে সব ছেলে দুর্বল হয়ে যাবে ,nonhate
"পেছন থেকে, ডগি স্টাইলে",nonhate
আমার কোনো দোষ নাই আপুটি টিশার্ট এ লিখা ,nonhate
শান্তি আফা! ,nonhate
দরকার হয় কিডনি বিক্রি করে টাকা দেব. শান্ত লিটন দের দেশে আনার ব্যবস্থা করা হোক,nonhate
কে জানতো এই ছেলেই বাংলাদেশের ক্রিকেট এর গুয়া মারবে ,hate
"দুধগুলো ঢেকে রাখা উচিত, এগুলো বাচ্চার খাবার",nonhate
আই রে আই টিয়ে দূধ ভাত দিয়ে,nonhate
বাচ্চাটা দুধের অভাবে ভুগছে। এটা দেন ক্যাপশান,nonhate
সাপ ফণা ধরে আছে বিষ নামিয়ে দিবে?,nonhate
তুমি নেই বলে আইসক্রিম খাওয়াতে পারলাম না। আই লাভ ইউ,nonhate
এইটা আমাদের লোকাল বাস এর অবস্থা ,nonhate
ওএমজি উফ আমি যদি একটা কিস দিতে পারতাম,nonhate
এই জন্যই কোলবালিশ দিয়া রাতে গুমান লাগে ,nonhate
ছেলেদের খাবার গুলা এই ভাবে চেটে দিচ্ছে ছি ছি ছি কী যুগ আসলো রে বাবা,hate
দুইজনের ঠোটের মাঝে নুনু ঢুকাইতে মন চায়,hate
বর চাইলে সব কিছু খুলে কথা বলব,nonhate
এটা তো একাই খাওয়া সম্ভব না.,nonhate
জিনিস টা কে বারা! কড়া জিনিস তো!,nonhate
সাগর দেখতে গিয়ে পাহাড় দেখলাম,nonhate
ইস্ এমন একটা মেয়ে যদি আমার প্রেমিকা হতো তাহলো কতো কিছু খেতে পারতাম,nonhate
মহা বিখ্যাত ছিদ্র নায়িকা ঝুনা খান দৈনিক ৫০ বার গুতা খেয়েও সোজা হয়ে দাড়িয়ে যায় ,hate
ওপরের খাসির মাংস আর নিচে বয়লার,nonhate
উফ সেই লেবেলের দুধ,hate
পরের জন্মে প্রজাপতি হয়েই জন্মাইয়ো পুটকির মদ্ধে সুতা বেধে উড়াবো,hate
চেটেপুটে খা,nonhate
আউট হয়ে গেছে ,nonhate
মাল আউট হয়ে গেছে এজন্য থেমে গেছি,hate
আমি এভাবে তোমাকে মশার মতো কামড়াতে চাই ,hate
উফ এই রকম চিকন মাজা ওয়ালা মেয়ে আমার দরকার।,hate
হুম দুধ গুলো অনেক রসালো হবে ,hate
"দুটার ভেতরে লাল, দুইটা শান্তির খাবার ",nonhate
সাদাগুলা মিষ্টি হবে গ্যারানটি,nonhate
অবশ্যই বুকের গুলো রসালো,hate
দুধ গুলো কী বড়ো বড়ো হবে,hate
অতিরিক্ত প্রেম আর অতিরিক্ত গরম দুইটাই বেশি হলেই জামা-কাপড় খুলতে হয়! ধন্যবাদ।,hate
